pathway	100CHE6KO	101CHE6WT	102CHE6WT	103CHE6KO	104CHE6KO	20CMK6KO	21CMK6WT	22CMK6KO	23CMK6WT	24CMK6KO	26CMK6WT	30CMK6KO	32CMK6KO	33CMK6WT	34CMK6KO	36CMK6WT	81CHE6WT	82CHE6WT	84CHE6KO	86CHE6WT	87CHE6KO	88CHE6KO	99CHE6KO	9CMK6KO
1CMET2-PWY	1289.7451	1485.2474	1233.5908	1542.2834	1495.8337	1550.2405	1328.0446	2559.5141	1826.0265	3077.7067	1804.1187	2900.3362	1257.9647	1759.7257	1030.3146	1791.9437	1258.1497	1327.3406	1885.3069	1613.5009	1946.6962	1076.8303	1808.2299	1435.1272
ANAEROFRUCAT-PWY	904.7455	1565.5453	1227.6231	1377.9154	1278.018	1514.7913	1116.1682	2659.939	1447.8958	3152.3021	1907.1448	2839.6462	1463.0624	1764.7485	948.239	1738.7891	938.0262	596.5036	939.0989	791.4387	1093.9894	1074.7628	1424.2995	1418.6621
ANAGLYCOLYSIS-PWY	1501.0804	1805.3271	1544.3206	1853.7761	1762.1769	1888.0894	1562.5367	3127.4281	2258.7942	4017.4037	2239.5692	3427.5825	1551.3882	2113.8935	1209.8554	2307.7784	1461.9503	1569.5938	2274.2492	1895.0821	2306.7129	1259.895	2125.9363	1982.9506
ARG+POLYAMINE-SYN	0.0	49.3391	45.6559	32.4901	32.6267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.4052	50.1986	93.3685	7.6868	31.6262	7.5102	11.7252	0.0
ARGORNPROST-PWY	63.4843	102.02	34.7	0.0	24.8828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.4771	46.977	65.8098	49.9522	26.7107	22.7084	117.3238	0.0
ARGSYN-PWY	776.456	1081.0183	863.2739	1149.4006	756.4376	982.5707	823.1788	1364.2216	934.3939	2210.5347	1375.7922	2237.1634	322.8579	972.3943	661.9382	870.4003	670.0482	310.8071	410.2977	637.1012	825.5044	874.2525	1190.9487	855.3551
ARGSYNBSUB-PWY	570.2451	973.0459	778.546	1011.763	596.3205	839.4051	514.128	920.3687	582.6188	1642.5589	1105.8694	2253.5635	138.8503	728.3005	448.4388	567.0938	386.4592	222.9471	274.1122	476.666	627.2028	518.7388	894.4711	678.1244
ARO-PWY	705.1088	1433.2828	1175.4632	1373.6769	1200.9786	1183.8674	523.8199	1327.1808	892.1321	2009.1311	1261.6048	2543.9842	50.0135	1065.3382	495.4615	908.8755	478.2747	448.2044	667.7594	756.4755	1098.1643	109.232	1270.5347	1053.6671
ASPASN-PWY	1459.1387	1709.4851	1466.2926	1494.4875	1772.9797	1800.3692	1500.7068	2974.322	2248.584	3841.6394	1965.4058	1992.2477	1481.4542	1994.1756	1051.629	2338.8402	1494.692	1688.8128	2477.9759	1956.5177	2365.5442	1185.136	2057.3135	2050.9221
BRANCHED-CHAIN-AA-SYN-PWY	1554.588	1892.0752	1559.4277	1864.1449	1836.4126	1753.9899	1519.2628	2722.6228	2159.3685	3689.4308	2008.7774	3262.473	1108.1968	1859.5764	1140.438	2092.2536	1535.635	1598.6205	2306.2387	1919.5874	2322.3721	1362.8744	2250.7294	1852.2858
CALVIN-PWY	1498.3001	1519.7394	1475.2561	1805.3439	1651.5441	1938.9327	1508.9679	2897.1616	2219.3401	4214.2069	2202.6898	3315.7646	1230.1254	2039.0297	1102.5253	2330.5433	1468.4768	1587.192	2321.0454	1930.509	2363.5376	1282.3383	2044.1498	2237.8304
COA-PWY	1245.6583	1487.83	1235.931	1252.1571	1489.4676	1567.7916	1380.3723	2716.1533	1907.4149	3156.9782	1900.1192	1993.7353	1396.0028	1800.6854	1022.9386	1807.902	1254.681	1323.0353	1864.6961	1613.5996	1944.291	1074.4621	1794.7619	1369.1792
COBALSYN-PWY	571.5092	674.2393	719.7884	876.6726	556.595	490.2535	216.7403	411.5161	245.2249	812.178	593.5757	1514.8682	46.9815	362.4583	202.129	247.2911	380.975	435.6204	726.9946	746.9204	991.9397	439.0474	776.5866	360.8863
COLANSYN-PWY	387.9621	972.595	652.1581	654.5153	809.1564	656.2821	762.8921	1873.2369	1067.62	2178.4222	1285.9514	1155.0555	1050.3273	1216.6143	664.3402	1298.206	482.3747	261.5539	446.1382	191.2449	236.0248	574.365	984.2649	708.341
COMPLETE-ARO-PWY	775.7831	1518.1927	1242.54	1466.8535	1286.1641	1280.4673	581.5583	1457.6315	986.6028	2196.8075	1369.7752	2723.1337	56.9331	1164.1096	546.2553	1003.9674	532.3652	500.5653	745.0608	837.4995	1207.8837	123.9905	1376.6455	1150.0438
